ReachID,SiteAction,HydroAction,Year,Watershed_Runoff_left,Watershed_Runoff_right,Hydrologic_Connection_left,Hydrologic_Connection_right,Streambank_Processes_left,Streambank_Processes_right,Energy_Nutrients_Sediment_left,Energy_Nutrients_Sediment_right,Riparian_Filtering_left,Riparian_Filtering_right,Lateral_Processes_left,Lateral_Processes_right,Longitudinal_Movement_Habitat_left,Longitudinal_Movement_Habitat_right,Plant_Community_left,Plant_Community_right,Canopy_Habitat_left,Canopy_Habitat_right,Understory_Habitat_left,Understory_Habitat_right,Floor_Habitat_left,Floor_Habitat_right,Stream_Habitat_left,Stream_Habitat_right,Riparian_Area_ac_left,Riparian_Area_ac_right,Peak_Discharge_cfs,W75_hr,W50_hr,Bank_Height_Ratio,Site_Velocity_ft_s,Reference_Velocity_ft_s,Reference_Area_ft2,Site_Area_ft2,Channel_Alteration,Channel_Stability_Evolution,Bank_Stability,Root_Depth_ft,Root_Density_per,Surface_Protection_per,Bank_Material,Bankfull_Mean_Depth_ft,Habitat_Available_Cover,Large_Wood,Velocity_Depth_Regime,Substrate_Deposition_Embeddedness,Aquatic_Organism_Passage,Material_Transport,Passage_Rate,Reach_Top_Width_ft,Reference_Top_Width_ft,Reach_Length_ft
17F2M,FWOP,None,0,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.993830303,3.993830303,278.4,11.45,15.5,10,6.682309503,3.608021265,55.12605276,186.88,1,15,19,0.5,20,20,Sandy loam,1.65156391,1,1,1,1,1,17,0.3635,70.89,50,1739.71248
17F2M,FWOP,None,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.993830303,3.993830303,278.4,11.45,15.5,10,6.682309503,3.608021265,55.12605276,186.88,1,15,19,0.5,20,20,Sandy loam,1.65156391,1,1,1,1,1,17,0.3635,70.89,50,1739.71248
17F2M,FWOP,None,10,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.993830303,3.993830303,278.4,11.45,15.5,10,6.682309503,3.608021265,55.12605276,186.88,1,15,19,0.5,20,20,Sandy loam,1.65156391,1,1,1,1,1,17,0.3635,70.89,50,1739.71248
17F2M,FWOP,None,50,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.993830303,3.993830303,278.4,11.45,15.5,10,6.682309503,3.608021265,55.12605276,186.88,1,15,19,0.5,20,20,Sandy loam,1.65156391,1,1,1,1,1,17,0.3635,70.89,50,1739.71248
17F2M,Alternative1,None,0,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,11,11,10,10,11,11,4.592904848,4.592904848,278.4,11.45,15.5,18,3.61,3.608021265,55.12605276,55.12605276,16,17,19,2,80,80,Sandy loam,1.65156391,14,13,17,18,17,17,0.3635,50,50,2000.669352
17F2M,Alternative1,None,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,4.592904848,4.592904848,278.4,11.45,15.5,18,3.61,3.608021265,55.12605276,55.12605276,16,17,19,2,80,80,Sandy loam,1.65156391,14,14,17,18,17,17,0.3635,50,50,2000.669352
17F2M,Alternative1,None,10,11,11,11,11,13,13,12,12,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4.592904848,4.592904848,278.4,11.45,15.5,18,3.61,3.608021265,55.12605276,55.12605276,16,17,19,2,80,80,Sandy loam,1.65156391,15,14,17,18,17,17,0.3635,50,50,2000.669352
17F2M,Alternative1,None,50,11,11,11,11,13,13,13,13,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,12,4.592904848,4.592904848,278.4,11.45,15.5,18,3.61,3.608021265,55.12605276,55.12605276,16,17,19,2,80,80,Sandy loam,1.65156391,16,15,17,18,17,17,0.3635,50,50,2000.669352
17F2M,Alternative2,None,0,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,9,9,10,10,3.993830303,3.993830303,278.4,11.45,15.5,10,5,3.608021265,55.12605276,100,14,16,19,2,80,80,Sandy loam,1.65156391,14,10,12,13,13,17,0.3635,50,50,1739.71248
17F2M,Alternative2,None,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3.993830303,3.993830303,278.4,11.45,15.5,10,5,3.608021265,55.12605276,100,14,16,19,2,80,80,Sandy loam,1.65156391,14,11,12,13,13,17,0.3635,50,50,1739.71248
